name,source_item,source
Oven Operator,,dariusk/corpora occupations
Packaging Machine Operator,,dariusk/corpora occupations
Painter,,dariusk/corpora occupations
Painting Worker,,dariusk/corpora occupations
Paper Goods Machine Setter,,dariusk/corpora occupations
Paperhanger,,dariusk/corpora occupations
Paralegal,,dariusk/corpora occupations
Paramedic,,dariusk/corpora occupations
Parking Enforcement Worker,,dariusk/corpora occupations
Parking Lot Attendant,,dariusk/corpora occupations
Parts Salesperson,,dariusk/corpora occupations
Paving Equipment Operator,,dariusk/corpora occupations
Payroll Clerk,,dariusk/corpora occupations
Pediatrician,,dariusk/corpora occupations
Pedicurist,,dariusk/corpora occupations
Personal Care Aide,,dariusk/corpora occupations
Personal Chef,,dariusk/corpora occupations
Personal Financial Advisor,,dariusk/corpora occupations
Personal Trainer,,dariusk/corpora occupations
Pest Control Worker,,dariusk/corpora occupations
Pesticide Applicator,,dariusk/corpora occupations
